Năm,Ngành,Số lượng sinh viên,Giới tính,Khu vực
2020,Công nghệ thông tin,450,Nam,Miền Bắc
2020,Công nghệ thông tin,280,Nữ,Miền Bắc
2020,Công nghệ thông tin,320,Nam,Miền Trung
2020,Công nghệ thông tin,190,Nữ,Miền Trung
2020,Công nghệ thông tin,380,Nam,Miền Nam
2020,Công nghệ thông tin,220,Nữ,Miền Nam
2020,Quản trị kinh doanh,280,Nam,Miền Bắc
2020,Quản trị kinh doanh,420,Nữ,Miền Bắc
2020,Quản trị kinh doanh,210,Nam,Miền Trung
2020,Quản trị kinh doanh,350,Nữ,Miền Trung
2020,Quản trị kinh doanh,290,Nam,Miền Nam
2020,Quản trị kinh doanh,410,Nữ,Miền Nam
2020,Kế toán,180,Nam,Miền Bắc
2020,Kế toán,380,Nữ,Miền Bắc
2020,Kế toán,140,Nam,Miền Trung
2020,Kế toán,290,Nữ,Miền Trung
2020,Kế toán,160,Nam,Miền Nam
2020,Kế toán,340,Nữ,Miền Nam
2020,Ngôn ngữ Anh,120,Nam,Miền Bắc
2020,Ngôn ngữ Anh,310,Nữ,Miền Bắc
2020,Ngôn ngữ Anh,95,Nam,Miền Trung
2020,Ngôn ngữ Anh,240,Nữ,Miền Trung
2020,Ngôn ngữ Anh,110,Nam,Miền Nam
2020,Ngôn ngữ Anh,280,Nữ,Miền Nam
2020,Luật kinh tế,150,Nam,Miền Bắc
2020,Luật kinh tế,220,Nữ,Miền Bắc
2020,Luật kinh tế,120,Nam,Miền Trung
2020,Luật kinh tế,180,Nữ,Miền Trung
2020,Luật kinh tế,140,Nam,Miền Nam
2020,Luật kinh tế,200,Nữ,Miền Nam
2021,Công nghệ thông tin,520,Nam,Miền Bắc
2021,Công nghệ thông tin,340,Nữ,Miền Bắc
2021,Công nghệ thông tin,380,Nam,Miền Trung
2021,Công nghệ thông tin,230,Nữ,Miền Trung
2021,Công nghệ thông tin,450,Nam,Miền Nam
2021,Công nghệ thông tin,280,Nữ,Miền Nam
2021,Quản trị kinh doanh,310,Nam,Miền Bắc
2021,Quản trị kinh doanh,480,Nữ,Miền Bắc
2021,Quản trị kinh doanh,240,Nam,Miền Trung
2021,Quản trị kinh doanh,390,Nữ,Miền Trung
2021,Quản trị kinh doanh,320,Nam,Miền Nam
2021,Quản trị kinh doanh,460,Nữ,Miền Nam
2021,Kế toán,200,Nam,Miền Bắc
2021,Kế toán,420,Nữ,Miền Bắc
2021,Kế toán,160,Nam,Miền Trung
2021,Kế toán,320,Nữ,Miền Trung
2021,Kế toán,180,Nam,Miền Nam
2021,Kế toán,380,Nữ,Miền Nam
2021,Ngôn ngữ Anh,140,Nam,Miền Bắc
2021,Ngôn ngữ Anh,350,Nữ,Miền Bắc
2021,Ngôn ngữ Anh,110,Nam,Miền Trung
2021,Ngôn ngữ Anh,270,Nữ,Miền Trung
2021,Ngôn ngữ Anh,130,Nam,Miền Nam
2021,Ngôn ngữ Anh,320,Nữ,Miền Nam
2021,Luật kinh tế,170,Nam,Miền Bắc
2021,Luật kinh tế,250,Nữ,Miền Bắc
2021,Luật kinh tế,140,Nam,Miền Trung
2021,Luật kinh tế,210,Nữ,Miền Trung
2021,Luật kinh tế,160,Nam,Miền Nam
2021,Luật kinh tế,230,Nữ,Miền Nam
2022,Công nghệ thông tin,610,Nam,Miền Bắc
2022,Công nghệ thông tin,410,Nữ,Miền Bắc
2022,Công nghệ thông tin,450,Nam,Miền Trung
2022,Công nghệ thông tin,280,Nữ,Miền Trung
2022,Công nghệ thông tin,540,Nam,Miền Nam
2022,Công nghệ thông tin,350,Nữ,Miền Nam
2022,Quản trị kinh doanh,340,Nam,Miền Bắc
2022,Quản trị kinh doanh,530,Nữ,Miền Bắc
2022,Quản trị kinh doanh,270,Nam,Miền Trung
2022,Quản trị kinh doanh,430,Nữ,Miền Trung
2022,Quản trị kinh doanh,350,Nam,Miền Nam
2022,Quản trị kinh doanh,510,Nữ,Miền Nam
2022,Kế toán,220,Nam,Miền Bắc
2022,Kế toán,460,Nữ,Miền Bắc
2022,Kế toán,180,Nam,Miền Trung
2022,Kế toán,350,Nữ,Miền Trung
2022,Kế toán,200,Nam,Miền Nam
2022,Kế toán,420,Nữ,Miền Nam
2022,Ngôn ngữ Anh,160,Nam,Miền Bắc
2022,Ngôn ngữ Anh,390,Nữ,Miền Bắc
2022,Ngôn ngữ Anh,125,Nam,Miền Trung
2022,Ngôn ngữ Anh,300,Nữ,Miền Trung
2022,Ngôn ngữ Anh,150,Nam,Miền Nam
2022,Ngôn ngữ Anh,360,Nữ,Miền Nam
2022,Luật kinh tế,190,Nam,Miền Bắc
2022,Luật kinh tế,280,Nữ,Miền Bắc
2022,Luật kinh tế,160,Nam,Miền Trung
2022,Luật kinh tế,240,Nữ,Miền Trung
2022,Luật kinh tế,180,Nam,Miền Nam
2022,Luật kinh tế,260,Nữ,Miền Nam
2022,Thiết kế đồ họa,180,Nam,Miền Bắc
2022,Thiết kế đồ họa,240,Nữ,Miền Bắc
2022,Thiết kế đồ họa,140,Nam,Miền Trung
2022,Thiết kế đồ họa,190,Nữ,Miền Trung
2022,Thiết kế đồ họa,160,Nam,Miền Nam
2022,Thiết kế đồ họa,220,Nữ,Miền Nam
2023,Công nghệ thông tin,720,Nam,Miền Bắc
2023,Công nghệ thông tin,490,Nữ,Miền Bắc
2023,Công nghệ thông tin,530,Nam,Miền Trung
2023,Công nghệ thông tin,340,Nữ,Miền Trung
2023,Công nghệ thông tin,640,Nam,Miền Nam
2023,Công nghệ thông tin,420,Nữ,Miền Nam
2023,Quản trị kinh doanh,370,Nam,Miền Bắc
2023,Quản trị kinh doanh,580,Nữ,Miền Bắc
2023,Quản trị kinh doanh,300,Nam,Miền Trung
2023,Quản trị kinh doanh,470,Nữ,Miền Trung
2023,Quản trị kinh doanh,380,Nam,Miền Nam
2023,Quản trị kinh doanh,560,Nữ,Miền Nam
2023,Kế toán,240,Nam,Miền Bắc
2023,Kế toán,500,Nữ,Miền Bắc
2023,Kế toán,200,Nam,Miền Trung
2023,Kế toán,380,Nữ,Miền Trung
2023,Kế toán,220,Nam,Miền Nam
2023,Kế toán,460,Nữ,Miền Nam
2023,Ngôn ngữ Anh,180,Nam,Miền Bắc
2023,Ngôn ngữ Anh,430,Nữ,Miền Bắc
2023,Ngôn ngữ Anh,140,Nam,Miền Trung
2023,Ngôn ngữ Anh,330,Nữ,Miền Trung
2023,Ngôn ngữ Anh,170,Nam,Miền Nam
2023,Ngôn ngữ Anh,400,Nữ,Miền Nam
2023,Luật kinh tế,210,Nam,Miền Bắc
2023,Luật kinh tế,310,Nữ,Miền Bắc
2023,Luật kinh tế,180,Nam,Miền Trung
2023,Luật kinh tế,270,Nữ,Miền Trung
2023,Luật kinh tế,200,Nam,Miền Nam
2023,Luật kinh tế,290,Nữ,Miền Nam
2023,Thiết kế đồ họa,220,Nam,Miền Bắc
2023,Thiết kế đồ họa,290,Nữ,Miền Bắc
2023,Thiết kế đồ họa,170,Nam,Miền Trung
2023,Thiết kế đồ họa,230,Nữ,Miền Trung
2023,Thiết kế đồ họa,200,Nam,Miền Nam
2023,Thiết kế đồ họa,270,Nữ,Miền Nam
2023,Marketing,190,Nam,Miền Bắc
2023,Marketing,320,Nữ,Miền Bắc
2023,Marketing,150,Nam,Miền Trung
2023,Marketing,260,Nữ,Miền Trung
2023,Marketing,180,Nam,Miền Nam
2023,Marketing,300,Nữ,Miền Nam
2024,Công nghệ thông tin,850,Nam,Miền Bắc
2024,Công nghệ thông tin,580,Nữ,Miền Bắc
2024,Công nghệ thông tin,630,Nam,Miền Trung
2024,Công nghệ thông tin,410,Nữ,Miền Trung
2024,Công nghệ thông tin,760,Nam,Miền Nam
2024,Công nghệ thông tin,510,Nữ,Miền Nam
2024,Quản trị kinh doanh,400,Nam,Miền Bắc
2024,Quản trị kinh doanh,630,Nữ,Miền Bắc
2024,Quản trị kinh doanh,330,Nam,Miền Trung
2024,Quản trị kinh doanh,510,Nữ,Miền Trung
2024,Quản trị kinh doanh,410,Nam,Miền Nam
2024,Quản trị kinh doanh,610,Nữ,Miền Nam
2024,Kế toán,260,Nam,Miền Bắc
2024,Kế toán,540,Nữ,Miền Bắc
2024,Kế toán,220,Nam,Miền Trung
2024,Kế toán,410,Nữ,Miền Trung
2024,Kế toán,240,Nam,Miền Nam
2024,Kế toán,500,Nữ,Miền Nam
2024,Ngôn ngữ Anh,200,Nam,Miền Bắc
2024,Ngôn ngữ Anh,470,Nữ,Miền Bắc
2024,Ngôn ngữ Anh,160,Nam,Miền Trung
2024,Ngôn ngữ Anh,360,Nữ,Miền Trung
2024,Ngôn ngữ Anh,190,Nam,Miền Nam
2024,Ngôn ngữ Anh,440,Nữ,Miền Nam
2024,Luật kinh tế,230,Nam,Miền Bắc
2024,Luật kinh tế,340,Nữ,Miền Bắc
2024,Luật kinh tế,200,Nam,Miền Trung
2024,Luật kinh tế,300,Nữ,Miền Trung
2024,Luật kinh tế,220,Nam,Miền Nam
2024,Luật kinh tế,320,Nữ,Miền Nam
2024,Thiết kế đồ họa,260,Nam,Miền Bắc
2024,Thiết kế đồ họa,340,Nữ,Miền Bắc
2024,Thiết kế đồ họa,200,Nam,Miền Trung
2024,Thiết kế đồ họa,270,Nữ,Miền Trung
2024,Thiết kế đồ họa,240,Nam,Miền Nam
2024,Thiết kế đồ họa,320,Nữ,Miền Nam
2024,Marketing,230,Nam,Miền Bắc
2024,Marketing,380,Nữ,Miền Bắc
2024,Marketing,180,Nam,Miền Trung
2024,Marketing,310,Nữ,Miền Trung
2024,Marketing,220,Nam,Miền Nam
2024,Marketing,360,Nữ,Miền Nam
2024,Khoa học dữ liệu,290,Nam,Miền Bắc
